style,sex
edgy,female
chic,female
sexy,female
bohemian,female
delicate,female
flirty,female
futuristic,female
grunge,female
vintage,female
minimalist,female
casual,female
sporty,female
hipster,female
professional,female
casual,male
sporty,male
urban,male
hipster,male
dapper,male
professional,male
dapper,male
metro,male
sporty,male
